score,selection,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength,spearman_5d,spearman_10d,bootstrap_delta_low,bootstrap_delta_high
EQ,ALL,5848,3954,2587,1.2027377900859888,0.7280655,4.427378421240338,2.6655806722071897,1.976898,5.143069803486359,4.245471462063733,3.0251535,-2.632854900354072,-2.251482,6.336219749903362,4.881706,-3.090665573250869,-2.625,0.5872534142640364,0.6872825666795516,0.3213429256594724,0.2713257965056526,0.5468085106382978,0.3191489361702128,1.612497316693295,STRONGER_AGGREGATE,-0.04253209188369867,0.026908204684035066,-0.0061121970205149,0.9847493501346496
EQ,TOP_1PCT,67,37,18,0.0730567297297297,-0.485044,2.7449299049297906,1.177695944444444,0.220646,4.6901547438309095,2.1685311351351357,1.432665,-2.856230783783784,-3.016148,4.859068888888888,3.23741,-3.0406479444444448,-3.8723415,0.3243243243243243,0.6111111111111112,0.1034482758620689,0.6206896551724138,0.2666666666666666,0.4,0.7592282624523706,WEAK,0.014074883848045904,-0.24999999999999975,-0.0061121970205149,0.9847493501346496
EQ,TOP_5PCT,302,181,107,0.871109093922652,0.606402,3.822119837055165,3.1576549813084105,1.976898,5.595229980363789,3.64713361878453,2.517223,-2.573154038674033,-2.277481,6.070581906542056,4.323556,-3.105384607476636,-2.546278,0.5524861878453039,0.794392523364486,0.3629032258064516,0.3709677419354839,0.5753424657534246,0.3150684931506849,1.4173786582415129,USEFUL_BUT_NOISY,-0.075591682717559,-0.032723131680933236,-0.0061121970205149,0.9847493501346496
EQ,TOP_10PCT,592,356,215,1.2701479382022474,0.790513,4.340919493350151,3.7507282186046513,2.353301,5.930102552168262,4.027083901685393,2.5940545000000004,-2.5677048342696627,-2.498423,6.703481493023256,4.670505,-2.8914893813953486,-2.754742,0.5758426966292135,0.7906976744186046,0.3557312252964427,0.3399209486166007,0.6013513513513513,0.304054054054054,1.5683593565499614,USEFUL_BUT_NOISY,-0.036625519811517564,-0.08709738154902824,-0.0061121970205149,0.9847493501346496
EQ,TOP_20PCT,1178,727,429,1.2246606409903713,0.664025,4.340824584305452,3.1932073682983684,2.184355,5.573327185312863,4.00232239477304,2.594771,-2.5953466354883084,-2.406093,6.368977715617715,4.673868,-2.986430118881119,-2.836591,0.5653370013755158,0.717948717948718,0.3333333333333333,0.3238636363636363,0.5903225806451613,0.332258064516129,1.542114775747484,STRONGER_AGGREGATE,-0.014601372385719682,0.03758897906814292,-0.0061121970205149,0.9847493501346496
EQ,GE_7.0,2757,1864,1140,1.0540061019313305,0.687387,4.255192018962391,2.826933784210526,2.141058,5.185401507120288,4.028082885193133,2.8496265000000003,-2.5938356754291845,-2.272418,6.30689654385965,5.004645,-3.032806139473684,-2.5207465,0.5724248927038627,0.7008771929824561,0.3140929535232384,0.2976011994002998,0.5614035087719298,0.3533834586466165,1.552944515086382,STRONGER_AGGREGATE,-0.0023971856976969974,0.06439049103192283,-0.0061121970205149,0.9847493501346496
EQ,GE_7.5,1977,1322,798,1.0114967269288957,0.595162,4.2443089032225565,3.037285427318296,2.3597935000000003,5.264516657491917,3.967007353252648,2.809874,-2.595794887291982,-2.251482,6.296648808270676,5.032244,-3.015887510025063,-2.657602,0.5680786686838124,0.7117794486215538,0.3216931216931217,0.3111111111111111,0.5910714285714286,0.3517857142857143,1.5282437655893373,STRONGER_AGGREGATE,0.0078502932067618,0.005330035890869786,-0.0061121970205149,0.9847493501346496
EQ,GE_8.0,1100,691,403,1.159397435600579,0.570004,4.379499168266309,3.2859871339950373,2.246604,5.611876210395253,4.023030916063676,2.525802,-2.6550328176555715,-2.483901,6.439871796526055,4.830309,-3.0801288908188584,-2.849136,0.5499276410998553,0.7270471464019851,0.3346613545816733,0.3346613545816733,0.6006825938566553,0.3515358361774744,1.51524715224276,STRONGER_AGGREGATE,0.02433426196175312,0.022004617987230028,-0.0061121970205149,0.9847493501346496
EQ,GE_8.5,393,237,148,1.4320609620253166,1.044248,4.540207539928354,3.8195908986486486,2.2999525,6.211454626551426,4.2479460928270045,2.594771,-2.538803599156118,-2.277481,6.930428486486486,4.569671,-2.905975283783784,-2.4881055,0.5822784810126582,0.8040540540540541,0.4046242774566474,0.3410404624277456,0.6203703703703703,0.2962962962962963,1.6732078425597767,USEFUL_BUT_NOISY,-0.17732658825549094,-0.11095138753391846,-0.0061121970205149,0.9847493501346496
raw_TCS,ALL,5848,3954,2587,1.2027377900859888,0.7280655,4.427378421240338,2.6655806722071897,1.976898,5.143069803486359,4.245471462063733,3.0251535,-2.632854900354072,-2.251482,6.336219749903362,4.881706,-3.090665573250869,-2.625,0.5872534142640364,0.6872825666795516,0.3213429256594724,0.2713257965056526,0.5468085106382978,0.3191489361702128,1.612497316693295,STRONGER_AGGREGATE,-0.090075830078848,-0.024651479974930224,-0.354037905546347,0.1657931726332808
