from_value,to_value,count,percentage,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,from_decision_bucket,to_decision_bucket,true_decision_change
Extended momentum,Extended momentum,172,0.029411764705882353,172,162,0.040545274608897425,-0.1220802177766322,1.476663320871075,1.0569583088667178,-1.2199964730946495,-0.9683098591549256,0.4691358024691358,132,-0.249571388413968,-0.0363306802462604,2.1492380366585797,1.5539568345323884,-2.2789622514379246,-2.252649986042626,0.5,128,0.2368379465966879,0.4036681146066367,2.823010357918662,2.4252538214758257,-2.6888911639503323,-2.460831655686424,0.546875,55,0.443476712753339,0.8023975251353344,4.689865810997687,3.7410071942446166,-3.193232583063719,-2.762589928057546,0.5454545454545454,0.3076923076923077,3.9166666666666665,2.9609375,6.0181818181818185,WAIT_MANAGE,WAIT_MANAGE,False
Trend repair,Volatility contraction setup,168,0.028727770177838577,168,138,0.2210331081865986,0.3075740099961477,1.4907160320863566,1.3467184102069707,-1.2869166229997437,-1.1353104889610832,0.5869565217391305,107,1.410239224954342,0.1696352841391135,3.6746436650280963,2.262340036563071,-2.181067042844115,-2.1162734127949334,0.514018691588785,104,2.8088554548490943,1.7052741372751812,5.395393748957785,3.3192031793729204,-2.38437731388463,-2.3523246419870967,0.6730769230769231,76,3.844337776106761,2.754650630726263,7.35367513654419,5.852417302798973,-2.6367110867924017,-2.707562608912312,0.8157894736842105,0.7368421052631579,4.857142857142857,3.3653846153846154,6.605263157894737,WAIT_MANAGE,ENTRY_SETUP,True
No trade,Failed breakout,167,0.028556771545827635,167,145,0.23414914348035556,0.0579206487112626,1.5657427883728303,1.1344669740386282,-0.954990404341635,-0.9727626459143934,0.503448275862069,130,1.05001223784833,0.6151475643001003,3.1103553862532958,2.4080560420315367,-1.7357891365297997,-1.4231836593416924,0.6076923076923076,123,1.327315796637081,0.8701472556894352,3.982260317134771,3.076923076923088,-2.3774315489551223,-2.1106977450459308,0.6910569105691057,90,2.559146214883507,2.2528797071569295,5.480795008652327,4.53579021970234,-2.71883246851864,-2.4883875248838727,0.8,0.631578947368421,4.931034482758621,3.186991869918699,5.933333333333334,NO_TRADE,DANGER_AVOID,True
Extended momentum,Volatility contraction setup,166,0.02838577291381669,166,146,0.38075649092599184,0.29027004410798746,1.4159399202392018,1.2889019078695774,-0.9653326398779639,-0.9307558555794126,0.5342465753424658,116,1.04624315223564,0.7908747503767466,2.5369371106465053,2.1357985336308616,-1.4737385292324798,-1.460889694401013,0.6724137931034483,106,1.0112866991814888,1.3582916937151746,3.3309877828122527,2.966123216008953,-1.9487631125565077,-1.6470728149011016,0.6226415094339622,66,2.0786670955188224,2.2317724655004367,5.035313266380074,5.1491928510029155,-2.510675060377353,-2.01908295020678,0.7575757575757576,0.7435897435897436,6.225806451612903,3.5754716981132075,6.696969696969697,WAIT_MANAGE,ENTRY_SETUP,True
Momentum continuation,Volatility contraction setup,141,0.024110807113543093,141,115,0.17280700775583416,-0.0581540250893186,1.3954412875519857,1.167209554831694,-1.1540280906060465,-0.9921724800878828,0.4956521739130435,92,0.04262341615627996,0.2191952403319375,2.321103805165847,1.9613405695455222,-2.134798553670964,-1.940584571154769,0.5652173913043478,85,-0.5901125293570635,-0.2156205079060891,2.6995430258750344,2.353992848629316,-2.519477376141176,-2.464819765563031,0.4588235294117647,57,0.5156026585144217,1.1020603737422086,3.789269088990444,3.701636358294902,-3.5060496918347694,-2.9150339290834326,0.631578947368421,0.4,6.5,2.776470588235294,5.912280701754386,WAIT_MANAGE,ENTRY_SETUP,True
Failed breakout,Failed breakout,120,0.02051983584131327,120,110,0.412528121317183,0.22965817855108425,2.11118412165658,1.5199350310528437,-1.0965914515139108,-0.8752975727993995,0.5818181818181818,101,1.2584584235240341,1.0452961672473782,3.7783021944154616,2.7994273898520827,-2.0392874536970753,-1.5323731075422289,0.5742574257425742,92,2.012055704586421,1.996513413181067,4.7949395403806845,4.441124304750044,-2.3239049443415793,-1.8072136466174893,0.5978260869565217,75,2.8545110263836615,2.300347222222232,6.493753734506137,5.409604519773992,-2.6215468923187175,-1.8072136466174893,0.6666666666666666,0.5384615384615384,3.727272727272727,2.9565217391304346,5.546666666666667,DANGER_AVOID,DANGER_AVOID,False
Momentum continuation,Momentum continuation,109,0.018638850889192888,109,97,-0.7838670988887527,-1.1117752540346748,1.2015108677001776,0.921452336178219,-1.7420048686551717,-1.5667841754798406,0.25773195876288657,88,-1.1276930948424528,-1.0946853699496162,1.624630753059716,0.9437845466305994,-3.0846353387204073,-2.788938785157169,0.29545454545454547,81,-1.4508917958863363,-1.6823376247649402,2.096070332270618,1.3600714782090684,-3.8660449277520494,-3.493661085841482,0.2962962962962963,39,-0.006599231407546946,-0.274375961988893,4.042398732404659,2.512168315277141,-4.169670263250337,-4.223968565815328,0.4358974358974359,0.4,3.625,2.493827160493827,5.923076923076923,WAIT_MANAGE,WAIT_MANAGE,False
Overheated momentum,Clean bull pullback,105,0.017954856361149112,105,90,-0.07056446040778788,0.1787266930731279,1.8932121726421722,1.6185334706310672,-1.8767163897584296,-1.808659971925275,0.5222222222222223,73,1.6706837355153668,1.1790714812085712,4.701825331000327,2.9461756373937664,-2.8785088873923192,-2.5676937441643344,0.6438356164383562,68,2.0111168847605456,2.0108795795579226,6.112333267902944,3.8605834137347417,-3.072285315813188,-2.3177298048411235,0.6323529411764706,55,2.391039734900713,0.7929315813321347,7.54815829589438,6.333403939843252,-4.003978349303447,-3.979929296384988,0.5636363636363636,0.46511627906976744,4.3076923076923075,3.0588235294117645,6.254545454545455,WAIT_MANAGE,ENTRY_SETUP,True
Distribution risk,Failed breakout,73,0.012482900136798905,73,63,0.28908526474937407,0.0952078705172887,1.3239950264887517,1.016949152542379,-0.7726811382885533,-0.8474576271186307,0.5555555555555556,53,0.8967687404817275,-0.2889303557454981,2.7920725695508835,2.027551416375628,-1.5336913907640632,-1.4807920121848062,0.49056603773584906,44,2.166373284786164,0.3026303081034021,3.966091767236857,2.4767572225077528,-2.081078026464511,-1.752913752913754,0.6136363636363636,39,1.7918284202406158,0.3999072678799065,3.8501803410113133,2.8369643284653856,-2.37380848746351,-2.338435374149661,0.5384615384615384,0.7777777777777778,4.142857142857143,3.5,7.717948717948718,DANGER_AVOID,DANGER_AVOID,False
Filtered momentum,Clean bull pullback,62,0.010601915184678522,62,56,0.32496639140306055,0.16506881549119828,1.487642705638509,1.0887177009011095,-1.1762229525605452,-1.0340073529411795,0.5892857142857143,50,0.523309905978441,1.5977486644564554,2.9576424988218757,2.7702774592098134,-2.2908834962761673,-1.6631510627940993,0.52,42,0.4865949031810065,0.998225178666623,4.064363851657966,3.1865601637340424,-2.9139821907303904,-1.6631510627940993,0.5238095238095238,28,2.878005765215303,3.141078484323012,5.888829683096972,5.8036385505938926,-2.711605625978002,-2.0771302991634766,0.7142857142857143,0.5,2.2222222222222223,2.3333333333333335,6.25,WAIT_MANAGE,ENTRY_SETUP,True
