score,quantile,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
SQ,10,593,360,211,0.1439038111111111,0.348112,3.486305463791639,1.2636664834123226,1.525282,4.449810209228052,3.069008961111111,2.439299,-2.875441455555556,-2.566991,4.8016237772511845,4.138275,-3.5292225260663503,-2.915034,0.5416666666666666,0.6255924170616114,0.24796747967479674,0.26422764227642276,0.4253731343283582,0.29850746268656714,1.0673174914347738,USEFUL_BUT_NOISY
EQ,1,576,374,287,1.2567294893048129,0.809683,4.256822115940769,1.781445337979094,1.345182,4.368937482590012,3.8046859224598926,2.843845,-2.565407152406417,-2.229581,5.005778139372822,3.723034,-3.04686368641115,-2.696573,0.6203208556149733,0.6515679442508711,0.29304029304029305,0.32234432234432236,0.46568627450980393,0.30392156862745096,1.4830729379120196,USEFUL_BUT_NOISY
EQ,2,585,380,230,1.9325131631578947,1.0673575,4.911639982474862,3.533146273913044,2.216179,5.865075807580031,4.781039897368421,3.6288704999999997,-2.2709178921052633,-2.060941,7.203306573913043,5.1488855000000004,-2.690013369565218,-2.5365995000000003,0.6473684210526316,0.7434782608695653,0.352059925093633,0.21348314606741572,0.5652173913043478,0.2360248447204969,2.105333668817123,USEFUL_BUT_NOISY
EQ,3,585,373,273,1.6205868820375333,0.7209,5.001095770853368,3.5389413479853484,2.595458,5.513878247432654,5.255269514745309,3.940749,-2.734250892761394,-2.272306,7.874473776556777,6.646351,-3.1897191135531138,-2.578493,0.5871313672922251,0.7106227106227107,0.3543859649122807,0.19298245614035087,0.6333333333333333,0.2523809523809524,1.9220143728060997,USEFUL_BUT_NOISY
EQ,4,585,431,278,1.2517496774941994,0.749154,4.486769993339881,2.4003156906474823,1.743274,5.023517582348803,4.375312343387471,3.116012,-2.841043204176334,-2.18829,6.241183499999999,4.747016,-3.180988176258993,-2.71918,0.5730858468677494,0.658273381294964,0.358600583090379,0.20116618075801748,0.5779816513761468,0.22477064220183487,1.5400372429943203,USEFUL_BUT_NOISY
EQ,5,590,426,309,0.9784270868544601,0.7481979999999999,4.196400975501225,2.038010783171521,1.557701,4.655851491236391,4.2029595751173705,3.0824715,-2.8219879788732394,-2.1464115,5.946931611650485,4.770459,-3.4441043203883495,-2.613024,0.6032863849765259,0.6601941747572816,0.29429429429429427,0.3033033033033033,0.4658119658119658,0.41452991452991456,1.4893612611331974,USEFUL_BUT_NOISY
EQ,6,581,413,246,0.8937613753026634,0.366765,4.46592806039132,2.1278058008130083,1.451034,5.220463424561646,4.014222075060532,2.692454,-2.6987881791767556,-2.385907,6.264861662601626,4.3768069999999994,-3.0236729756097565,-2.474925,0.5423728813559322,0.6585365853658537,0.2857142857142857,0.24916943521594684,0.4823529411764706,0.3352941176470588,1.4874165027227293,USEFUL_BUT_NOISY
EQ,7,583,428,286,0.9499220327102804,0.7583445,4.089931537636474,2.222380332167832,2.049511,4.370041741853175,3.9767036004672898,3.087703,-2.6231057593457945,-2.1682129999999997,5.893268856643356,5.078609,-3.2158342657342653,-2.235319,0.6004672897196262,0.6643356643356644,0.30618892508143325,0.3322475570032573,0.5463414634146342,0.36097560975609755,1.5160286947252497,USEFUL_BUT_NOISY
EQ,8,587,403,249,0.794483741935484,0.499251,4.083606700982531,3.131998791164658,2.674192,5.185170268296233,4.0741661191067,2.996167,-2.5392394243176177,-2.116273,6.494285666666666,5.570883,-2.9651885381526104,-2.710468,0.5682382133995038,0.7188755020080321,0.303886925795053,0.26501766784452296,0.5773809523809523,0.39880952380952384,1.6044828542316643,USEFUL_BUT_NOISY
EQ,9,583,369,214,1.1999384742547425,0.57572,4.347903871459077,2.6330812803738315,2.052814,5.143484798732801,3.9908267398373987,2.75392,-2.615470894308943,-2.240799,6.032910836448598,4.913283,-3.081814504672897,-2.9292724999999997,0.5582655826558266,0.6448598130841121,0.315018315018315,0.304029304029304,0.5802469135802469,0.35802469135802467,1.5258540053040242,USEFUL_BUT_NOISY
