analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,missing_sector_N,total_N,missing_sector_rate
MISSINGNESS_BY_SECTOR_LABEL,Process industries,247,211,0.466020339905795,0.29827519128518,1.5195362625379614,1.1725648089284446,-1.0537316629684161,-1.1293380595169489,0.5687203791469194,189,1.0975632616985305,-0.0863259668508309,3.2452745016240976,1.8590831918505968,-1.9165365597332402,-1.745820965474154,0.4973544973544973,182,1.0325535499012672,0.2849191624701763,3.556718875082105,2.018093249826025,-2.348814685258568,-2.29245128541018,0.532967032967033,123,1.5077198239800231,0.1367031208322044,4.6273028102354665,2.592435189120268,-3.0802182460504905,-3.2845625559868696,0.5121951219512195,0.44642857142857145,4.12,2.879120879120879,5.5772357723577235,,,247.0,247.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Producer manufacturing,398,342,0.28527247474492534,0.187468755207476,1.6524143966799911,1.3304485419963097,-1.0369115982089332,-0.9642666708601422,0.5467836257309941,298,0.8412646076439104,0.4800224581814394,3.1577384700874433,2.3636250544255777,-1.5827329079339598,-1.3883571500708403,0.5671140939597316,272,1.0373515855678987,0.4778007889209346,3.78370767222096,2.9025006949344734,-1.8460661893413126,-1.5870031539480578,0.5625,150,1.7756815687524647,0.1175951785976847,5.5765325972600275,3.920508855783278,-2.1937452116120344,-1.7290760581308962,0.5333333333333333,0.65,3.5689655172413794,2.875,5.386666666666667,,,398.0,398.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Retail trade,255,224,0.1793519204457765,-0.0604707414643246,1.7777148402001397,1.6695576756287966,-1.1848815080169535,-0.9905842781072483,0.4955357142857143,189,0.3431300488050236,0.1876040616279439,3.0196494721740716,2.162939643942674,-2.358985528733373,-1.816276632902547,0.5291005291005291,167,0.47519856390020865,0.0945179584120881,4.256925211784838,2.696109898574917,-2.942335020458796,-2.497146770143799,0.5269461077844312,86,0.5313969649440274,-0.1759620534006689,5.975046606750837,4.770298127645645,-4.387842292766709,-4.511122607346096,0.4418604651162791,0.43859649122807015,3.8,2.7724550898203595,4.825581395348837,,,255.0,255.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Technology services,411,335,0.676710402670098,0.5730453780308897,2.141955546546177,1.6274089935760072,-1.1353622713817062,-1.1727912431587106,0.6417910447761194,270,1.3657663374383398,1.2048192771084487,4.333382304142287,3.0812711104983848,-2.2617355836119537,-1.9869657005892933,0.662962962962963,245,2.0304754792628894,1.225211570039164,5.6609584339317385,4.595022059435627,-2.5953340242959713,-2.1794221996958907,0.673469387755102,171,3.003291921561659,2.141057934508805,7.582524587402662,6.338788734734568,-2.792645130678535,-2.095557418273264,0.7309941520467836,0.7901234567901234,3.8767123287671232,3.273469387755102,5.56140350877193,,,411.0,411.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Transportation,235,199,-0.4314799379670612,-0.2733254597604206,1.6098709600124879,1.3027329674593968,-1.6829080462175574,-1.5553121577218,0.457286432160804,165,-0.720905044602809,-1.4290949065591807,2.597947567265474,1.942183385204688,-3.7055185436645623,-3.4519196900317017,0.3333333333333333,153,0.632995941097771,0.1876300617473569,3.859008455743925,2.69245354569585,-4.156082386019272,-4.1392691602888725,0.5424836601307189,108,5.386946008131599,4.706299392513902,8.04459331785627,7.26643598615917,-4.687930818108986,-5.301973290811246,0.9351851851851852,0.42857142857142855,5.767857142857143,2.980392156862745,8.407407407407407,,,235.0,235.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Unknown,469,430,-0.16378495017498157,-0.5439070662835443,1.890662862260535,1.1336577240366186,-1.5167197425131749,-1.3133642792698463,0.37209302325581395,398,0.32471320957217814,-0.38716251038675153,3.2163585976000024,1.820764119564311,-2.4032051025788252,-2.289223054877665,0.4271356783919598,382,0.8746538320261682,0.22191132696429688,3.9797153523327324,2.4323291893541876,-2.8478618203290123,-2.6171093691254983,0.5340314136125655,270,2.0760853208510928,1.6276347636679511,6.18548745680029,4.5307740808509305,-3.0203203802995815,-2.8663084112034776,0.5925925925925926,0.5371428571428571,4.103448275862069,2.764397905759162,6.007407407407407,,,469.0,469.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Utilities,77,67,-0.6384965211652589,-0.6552419354838634,0.6140095453434119,0.4091653027823216,-1.818646430415526,-1.957397812320083,0.34328358208955223,62,-0.3324420075092544,0.43689854974248155,1.2244784928339425,1.3472277739132288,-2.4342896246046983,-2.3859065057566964,0.5806451612903226,62,-0.14629815611298932,0.8058442536526433,1.8219212119920076,2.1416234887737584,-2.991565582188018,-2.3859065057566964,0.6774193548387096,32,0.6849084866509396,2.0495106505469263,3.170325735538688,3.4938763242918336,-4.046525471611448,-2.614346850845539,0.78125,0.0,10.0,3.2903225806451615,7.65625,,,77.0,77.0,1.0
MISSINGNESS_BY_SETUP_TYPE,breakout,116,104,0.5170582148880418,0.45128629678794496,2.2793619885213228,1.6330524702221516,-1.4905975754958012,-1.348737014437662,0.6057692307692307,99,0.6025702727462011,0.7110208227526504,3.4892100448720016,2.859493931289858,-2.4766741493054565,-1.98491950275117,0.6060606060606061,95,1.3923214322337483,1.2369033760186277,4.3359507056204425,3.7599072105161335,-2.6141356855653566,-2.0289310539169603,0.7157894736842105,75,1.6061082504579054,1.2073649260488928,5.692496935368317,4.361120051496603,-3.229751203935912,-2.6510721247563374,0.6133333333333333,0.7407407407407407,3.608695652173913,2.957894736842105,5.466666666666667,,,116.0,116.0,1.0
MISSINGNESS_BY_SETUP_TYPE,extended_momentum,211,195,-0.00695564121472384,-0.2049705354855158,1.3967917457390446,1.0455635491606774,-1.2399355610161609,-0.9683098591549256,0.4358974358974359,155,-0.23165522764794982,-0.0950703240779504,2.1329225783125887,1.5539568345323884,-2.343242382886438,-2.3147295388960543,0.4838709677419355,148,0.09662196115181648,0.08362735595986434,2.7800531192739455,2.375829257712747,-2.758897474661906,-2.508276051265029,0.5,72,-0.2602429408473676,-0.540450553329902,4.227468309682338,3.421421549796011,-3.5568690881678413,-3.7409339610637415,0.4305555555555556,0.25,4.071428571428571,2.9054054054054053,5.486111111111111,,,211.0,211.0,1.0
MISSINGNESS_BY_SETUP_TYPE,momentum_continuation,121,97,-0.7838670988887531,-1.1117752540346748,1.2015108677001776,0.921452336178219,-1.7420048686551717,-1.5667841754798406,0.25773195876288657,88,-1.1276930948424528,-1.0946853699496162,1.6246307530597164,0.9437845466305994,-3.0846353387204073,-2.788938785157169,0.29545454545454547,81,-1.4508917958863363,-1.6823376247649402,2.096070332270618,1.3600714782090684,-3.8660449277520486,-3.493661085841482,0.2962962962962963,39,-0.00659923140754697,-0.274375961988893,4.042398732404659,2.512168315277141,-4.169670263250336,-4.223968565815328,0.4358974358974359,0.4,3.625,2.493827160493827,5.923076923076923,,,121.0,121.0,1.0
