setup_type,analysis_kind,slice_value,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
breakout,STAGE,Stage 4,1,1,0,-3.895937,-3.895937,,,,,1.230296,1.230296,-4.485454,-4.485454,,,,,0.0,,0.0,0.0,,,0.27428572447738847,DESCRIPTIVE_ONLY
breakout,STAGE,Unknown,33,33,30,-0.3741789090909091,0.114548,3.6869988572121177,-0.29709983333333334,-0.516103,3.738832182732566,3.4457488787878785,3.632033,-3.8218829999999997,-3.169333,3.9425931666666667,3.288818,-4.6129739,-3.185472,0.5757575757575758,0.4,0.14814814814814814,0.0,0.2,0.16,0.9015840827120765,WEAK
breakout,MARKET_REGIME,Bull trend,19,10,0,0.11024119999999993,-0.628947,3.119619291728107,,,,3.3639878000000003,3.6222595,-3.0493565,-2.91334,,,,,0.4,,0.25,0.0,,,1.1031795724770128,DESCRIPTIVE_ONLY
breakout,MARKET_REGIME,Choppy,4,0,0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE_ONLY
breakout,MARKET_REGIME,Distribution,93,85,75,1.5431544235294115,1.267577,3.7314865083557303,1.6061081600000002,1.207365,4.665284097713484,4.450299388235294,3.759907,-2.5629332470588237,-2.022701,5.69249696,4.36112,-3.229751226666667,-2.651072,0.7529411764705882,0.6133333333333333,0.3230769230769231,0.046153846153846156,0.41818181818181815,0.12727272727272726,1.7364086221685164,WEAK
extended_momentum,ALL,ALL,211,148,72,0.09662191891891898,0.0836275,2.871740948348583,-0.26024305555555555,-0.540451,3.4052789722071637,2.7800531148648644,2.3758295,-2.7588975000000002,-2.508276,4.227468291666666,3.4214215,-3.556869055555555,-3.740934,0.5,0.4305555555555556,0.11538461538461539,0.6442307692307693,0.2692307692307692,0.7692307692307693,1.007668140938496,USEFUL_BUT_NOISY
extended_momentum,SQ_QUARTILE,1,53,40,19,0.275442925,0.5401935,2.8789865820442957,-0.017276473684210557,0.466877,2.8431688919365303,2.798298125,2.4995725,-2.7478167,-2.439275,3.6037947368421057,3.205047,-2.9726774210526314,-3.141607,0.575,0.5263157894736842,0.05714285714285714,0.6285714285714286,0.29411764705882354,0.8823529411764706,1.0183714674272124,WEAK
extended_momentum,SQ_QUARTILE,2,53,42,19,-0.7830529285714285,-1.238158,2.4564533795434444,0.02799942105263164,-1.231291,3.713516683004524,1.784899738095238,1.6316765,-2.909651333333333,-2.8582995,3.375167894736842,2.608696,-3.6651656842105265,-4.151909,0.30952380952380953,0.3684210526315789,0.0,0.7777777777777778,0.0,1.0,0.6134411080967679,WEAK
extended_momentum,SQ_QUARTILE,3,52,36,20,0.7575464999999999,0.569527,3.0668003989139887,-0.51138315,-0.529738,2.6716832950972327,3.625941305555555,3.131894,-2.399151888888889,-2.1538060000000003,5.8205648,5.821506,-3.6267575,-3.875425,0.5555555555555556,0.4,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.42857142857142855,1.5113429551285413,WEAK
extended_momentum,SQ_QUARTILE,4,53,30,14,0.2966292,0.712318,3.004303121445883,-0.6223980714285712,-0.551164,4.708128965530468,3.133875333333333,2.374594,-2.9943112666666667,-2.85762,3.9547236428571426,2.020933,-4.102885928571428,-5.0605305000000005,0.6,0.42857142857142855,0.19047619047619047,0.5714285714285714,0.3,0.8,1.0466097390142182,WEAK
