setup_type,setup_model,analysis_kind,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,slice_value
none,OLD_MAX,ALL,421,357,0.21489225085680738,0.1520372998175645,1.77393793154249,1.2732138512691726,-1.1864237305373724,-0.9484536082474238,0.5406162464985994,318,0.9001075401046416,0.12724983211422894,3.4671018357288577,2.2259983007646422,-2.0246783295596815,-1.6485690935710062,0.5251572327044025,285,1.1442826449293984,0.6972616632860085,4.256830002571962,3.093172387778176,-2.372253836787828,-1.916300921060776,0.6070175438596491,176,1.2569649224031005,0.285632676378178,5.885519580134711,4.0473610896146095,-3.051123077998123,-2.4534096934348715,0.5227272727272727,0.44642857142857145,3.75,3.101754385964912,5.5852272727272725,0.01801509532435167,-0.22660556697506973,
none,OLD_MAX,TOP_20_PCT_WITHIN_SETUP,97,79,0.3961036855647313,-0.1057082452431412,1.8337492040272279,0.9089128305582728,-1.3140907367037533,-1.3706793802145456,0.45569620253164556,72,0.6515765399916419,-0.588389121338917,3.239502622685171,2.078891907867797,-2.0011877289143585,-1.7629776791994458,0.375,67,1.2716382328334483,0.2419299094491123,4.153532158237101,3.0925925925926023,-2.41670576735771,-2.1607549625772826,0.582089552238806,39,-0.6461494669627048,-0.8669690532238539,5.4049436052213125,3.3473043578113426,-4.043717904599277,-3.495638588725425,0.41025641025641024,0.4642857142857143,2.769230769230769,3.4029850746268657,5.051282051282051,0.01801509532435167,-0.22660556697506973,
none,HYBRID_PRIMARY_CONFIRMATION,ALL,421,357,0.21489225085680738,0.1520372998175645,1.77393793154249,1.2732138512691726,-1.1864237305373724,-0.9484536082474238,0.5406162464985994,318,0.9001075401046416,0.12724983211422894,3.4671018357288577,2.2259983007646422,-2.0246783295596815,-1.6485690935710062,0.5251572327044025,285,1.1442826449293984,0.6972616632860085,4.256830002571962,3.093172387778176,-2.372253836787828,-1.916300921060776,0.6070175438596491,176,1.2569649224031005,0.285632676378178,5.885519580134711,4.0473610896146095,-3.051123077998123,-2.4534096934348715,0.5227272727272727,0.44642857142857145,3.75,3.101754385964912,5.5852272727272725,0.0303390030430705,0.04670075674356374,
none,HYBRID_PRIMARY_CONFIRMATION,TOP_20_PCT_WITHIN_SETUP,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0.0303390030430705,0.04670075674356374,
pullback,CURRENT_TYPE_SPECIFIC,ALL,3588,3051,0.3241527856890714,0.1540832049306439,1.867447727457163,1.4371257485029876,-1.245348520154537,-1.080308205576297,0.5362176335627663,2632,0.865576059070027,0.36815253329842695,3.5093046520673656,2.304134213475917,-2.2754037930062783,-1.9831848151955045,0.5448328267477204,2445,1.335499985643666,0.6640248953365901,4.521140395924603,3.0812711104983848,-2.720332723352559,-2.3054417788180293,0.5815950920245399,1630,3.1999045197521596,2.50248121366794,6.780478876506539,5.188444848769924,-3.116579458297747,-2.6576019777503124,0.7134969325153374,0.6477516059957173,4.189111747851003,3.042944785276074,6.160736196319019,-0.0215605247472914,0.13226720582899734,
pullback,CURRENT_TYPE_SPECIFIC,TOP_20_PCT_WITHIN_SETUP,725,587,0.14632368069731386,-0.0984966303784307,1.7271569339858905,1.331133739120549,-1.208782629878475,-1.008688704683902,0.48211243611584326,484,0.6484841485602143,0.14605677893073649,3.1651699068098735,1.8894056818039457,-2.167549919889469,-2.0316239474123146,0.5247933884297521,448,1.4277844418981698,0.8051645406683239,4.475407079431393,2.7658183550352433,-2.5358337931249055,-2.2508440665249485,0.5982142857142857,268,4.6983214461309,3.835314299718173,7.834183729417791,6.64635087177905,-2.7756332494501486,-2.428035043804766,0.8022388059701493,0.8,4.125,3.2232142857142856,6.958955223880597,-0.0215605247472914,0.13226720582899734,
pullback,OLD_MAX,ALL,3588,3051,0.3241527856890714,0.1540832049306439,1.867447727457163,1.4371257485029876,-1.245348520154537,-1.080308205576297,0.5362176335627663,2632,0.865576059070027,0.36815253329842695,3.5093046520673656,2.304134213475917,-2.2754037930062783,-1.9831848151955045,0.5448328267477204,2445,1.335499985643666,0.6640248953365901,4.521140395924603,3.0812711104983848,-2.720332723352559,-2.3054417788180293,0.5815950920245399,1630,3.1999045197521596,2.50248121366794,6.780478876506539,5.188444848769924,-3.116579458297747,-2.6576019777503124,0.7134969325153374,0.6477516059957173,4.189111747851003,3.042944785276074,6.160736196319019,-0.05523176018616885,0.046525330767968484,
pullback,OLD_MAX,TOP_20_PCT_WITHIN_SETUP,718,594,0.44826061917614013,-0.0392453477964016,1.9337828988939658,1.2686127354157972,-1.1655370769801747,-1.1054591345327491,0.4983164983164983,507,0.3601070638394853,-0.170739171753953,3.218588968074325,1.85574981743204,-2.2022618273515864,-2.059746282908204,0.47337278106508873,479,1.0615704770382914,0.4281746644036577,4.163827931032905,2.543142597638504,-2.558352323720153,-2.329959990586028,0.5594989561586639,270,3.7666157277483006,3.221141693349572,7.040644084713793,5.799955958992942,-2.693491516310922,-2.1860511104353773,0.7592592592592593,0.8181818181818182,4.104347826086957,2.9457202505219207,6.733333333333333,-0.05523176018616885,0.046525330767968484,
pullback,HYBRID_PRIMARY_CONFIRMATION,ALL,3588,3051,0.3241527856890714,0.1540832049306439,1.867447727457163,1.4371257485029876,-1.245348520154537,-1.080308205576297,0.5362176335627663,2632,0.865576059070027,0.36815253329842695,3.5093046520673656,2.304134213475917,-2.2754037930062783,-1.9831848151955045,0.5448328267477204,2445,1.335499985643666,0.6640248953365901,4.521140395924603,3.0812711104983848,-2.720332723352559,-2.3054417788180293,0.5815950920245399,1630,3.1999045197521596,2.50248121366794,6.780478876506539,5.188444848769924,-3.116579458297747,-2.6576019777503124,0.7134969325153374,0.6477516059957173,4.189111747851003,3.042944785276074,6.160736196319019,-0.03839292278307848,0.11063320933167557,
pullback,HYBRID_PRIMARY_CONFIRMATION,TOP_20_PCT_WITHIN_SETUP,725,586,0.19731098514274156,-0.1038675383393306,1.740240119678452,1.1964693923559033,-1.2106999582016333,-1.0694729753730814,0.4812286689419795,489,0.4078020068381914,-0.0679611650485356,3.023501239744488,1.80553028924868,-2.194798277959633,-2.0517928286852616,0.4887525562372188,456,1.1143302304027087,0.4281746644036577,4.221957418512676,2.558591751100203,-2.583015630345079,-2.355653230587895,0.5635964912280702,256,4.327458120358657,3.667664670658688,7.493720253189126,6.473082480668402,-2.8646540525083415,-2.4225030026883365,0.8046875,0.8014184397163121,4.304,3.094298245614035,6.96484375,-0.03839292278307848,0.11063320933167557,
trend_repair,CURRENT_TYPE_SPECIFIC,ALL,176,149,-0.11991605989073525,-0.2987506789788097,1.4013178463054272,1.0781671159029615,-1.4557579213711962,-1.469842878864669,0.3959731543624161,129,0.9139689051833485,0.6289112363398575,3.1946372209607965,2.1496598639455744,-2.199453180997474,-1.9079837618403368,0.5271317829457365,121,2.3227085697956977,1.7413817562774936,5.09502749941367,3.454623697045056,-2.280499243719064,-1.9328982834444508,0.7024793388429752,95,2.0978907588315767,1.195457262402866,6.322873767933005,5.086336668732838,-2.4409114739240945,-2.3239099185433654,0.6421052631578947,0.45614035087719296,3.7,3.553719008264463,5.778947368421052,-0.0405681579000971,0.028722177697163988,
trend_repair,CURRENT_TYPE_SPECIFIC,TOP_20_PCT_WITHIN_SETUP,42,36,0.06712329927798649,-0.164656190714818,1.7252961517564063,1.4078452611591352,-1.198476839860547,-1.6293399363753847,0.4722222222222222,31,0.9333000115024511,0.5904509823882798,3.4026943838473707,2.531282492560316,-1.5608841056742362,-1.6335748013021845,0.5161290322580645,29,1.9467079783616363,2.0508407730092104,4.541190466135795,3.0711959050721216,-1.769317842337911,-1.6335748013021845,0.6206896551724138,18,2.7487012358321006,0.23128399442965403,5.2598651494641375,3.353226289804545,-1.4759072258154364,-1.0237319683573776,0.6111111111111112,0.4444444444444444,2.75,3.4482758620689653,5.888888888888889,-0.0405681579000971,0.028722177697163988,
trend_repair,OLD_MAX,ALL,176,149,-0.11991605989073525,-0.2987506789788097,1.4013178463054272,1.0781671159029615,-1.4557579213711962,-1.469842878864669,0.3959731543624161,129,0.9139689051833485,0.6289112363398575,3.1946372209607965,2.1496598639455744,-2.199453180997474,-1.9079837618403368,0.5271317829457365,121,2.3227085697956977,1.7413817562774936,5.09502749941367,3.454623697045056,-2.280499243719064,-1.9328982834444508,0.7024793388429752,95,2.0978907588315767,1.195457262402866,6.322873767933005,5.086336668732838,-2.4409114739240945,-2.3239099185433654,0.6421052631578947,0.45614035087719296,3.7,3.553719008264463,5.778947368421052,0.07649725763863575,0.12340344915162506,
