component,component_column,analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,decile_monotonicity_5d,decile_monotonicity_10d,bootstrap_clusters,bootstrap_mean_ci_low,bootstrap_mean_ci_high
Trend Quality,trend_quality,OVERALL,ALL,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.11789657799163727,-0.1779578400458903,-0.7818181818181817,-0.7212121212121211,7.0,0.907255528739612,1.5285947465902214
Trend Quality,trend_quality,TOP_10_PCT,TOP_10_PCT,573,495,0.08545879600312846,-0.1069375751904799,1.601519237296785,1.3084565059365172,-1.252767069792036,-1.063275304909839,0.45252525252525255,427,-0.05293210138637266,-0.216909283717348,2.4571320158666308,1.7645625152327593,-2.453369930375417,-2.0875972165370404,0.45433255269320844,385,0.11729483723007329,-0.0170212765957411,3.131655749539076,2.162939643942674,-3.0574996933935643,-2.542714919951572,0.4935064935064935,276,0.7824964367765204,0.6310880073501446,4.495115615741996,3.728395956375219,-3.6380451145742745,-3.0514257860102423,0.5579710144927537,0.5128205128205128,4.021739130434782,2.890909090909091,5.739130434782608,,,,,7.0,-0.5722177428915642,0.7674120037974649
Trend Quality,trend_quality,TOP_20_PCT,TOP_20_PCT,1222,1040,0.11383082712759272,-0.070408080658757,1.6002995666653308,1.2870012870012992,-1.2138328192215453,-0.9849023087143804,0.4778846153846154,888,0.34643356673597814,0.0536193029490483,2.7541430710962813,1.9769791797459968,-2.2765831473532523,-1.940584571154769,0.509009009009009,818,0.6039868714648516,0.1461750852687959,3.4740515263057965,2.682763246143538,-2.7657983629612835,-2.375206567747007,0.5537897310513448,576,1.054924719899082,0.7395720343161383,4.737428227462981,3.96326727887868,-3.403843130412839,-2.7687874233088827,0.5729166666666666,0.5488958990536278,4.512820512820513,2.9559902200489,5.713541666666667,,,,,7.0,0.014701129006559486,1.0983666922386113
Trend Quality,trend_quality,DECILE,1,581,495,0.5251467353656638,0.58855842423291,1.9737757644235894,1.5566914498141404,-1.34970820352356,-1.16884224895486,0.6262626262626263,426,1.471964871105431,1.2528465717423276,3.988485767730214,2.8294787538253097,-2.2684564967274716,-2.0118781487064252,0.5985915492957746,404,2.240636875844391,2.0250052528310913,5.336855784363648,4.17330191504881,-2.688033615724059,-2.375874560282465,0.6806930693069307,275,3.589944960556857,2.9850746268656803,7.503941080140721,7.043558850787779,-2.886935135371985,-2.548543689320404,0.8145454545454546,0.7023809523809523,4.081632653061225,3.3415841584158414,6.32,,,,,7.0,1.528611645645352,2.9357001634314246
Trend Quality,trend_quality,DECILE,2,583,503,0.5826344176797867,0.2828347209496984,2.1977149360626456,1.453393071795439,-1.0792109869386166,-1.0521885521885488,0.5685884691848907,434,1.2040169869961503,0.7578628268283261,4.060370213557348,2.7523020790278463,-2.005146646409573,-1.6091645119737095,0.5852534562211982,410,2.2085307472774405,1.4820999895626796,5.443359487746456,3.909877392256511,-2.2423102007377116,-1.9478707485127975,0.6658536585365854,300,3.962765488322678,2.3804300131636813,7.793017592462509,6.20949902188187,-2.3756560491595224,-2.0749134725063234,0.8233333333333334,0.6582278481012658,3.5811965811965814,3.175609756097561,6.13,,,,,7.0,1.2688614522242636,3.0715950488579833
Trend Quality,trend_quality,DECILE,3,579,495,0.3929625547626988,0.1525719267654768,1.819130179070777,1.3773186715539287,-1.1650483685042121,-1.1073950204385064,0.5494949494949495,442,1.3714245640998346,0.777491824044696,3.7132916494746717,2.5047644976858185,-1.913634426108303,-1.7278939607571875,0.6334841628959276,414,1.6251603434346644,1.0135393478149957,4.617640579224036,3.2941996354669323,-2.1435357651858924,-1.878331677696488,0.6111111111111112,275,3.0831761366315167,2.052814442194961,6.870036933407539,5.189987350394087,-2.5159648877522502,-2.148997134670483,0.7454545454545455,0.7535211267605634,3.7589285714285716,3.0531400966183573,5.970909090909091,,,,,7.0,0.9537031530655286,2.4532583048261687
Trend Quality,trend_quality,DECILE,4,580,499,0.2864859127279186,0.2321909538404387,1.629649604081216,1.4341590612777066,-1.241412610930875,-1.1444921316165924,0.5751503006012024,439,1.0391264186081848,0.5758991633163069,3.2384079739894154,2.2727272727272707,-2.004837965442024,-1.8978933383943848,0.592255125284738,408,1.2792354853279708,0.8944857022899266,4.083919576128492,2.928893436955504,-2.3461642228739494,-2.088103646997003,0.6274509803921569,251,3.0178152299990697,2.4022662889518376,6.374657473397156,4.881706097967342,-2.6857396209617326,-2.1918588101337955,0.749003984063745,0.6933333333333334,4.451327433628318,3.232843137254902,6.270916334661354,,,,,7.0,0.8665690522858496,1.7387739535027402
Trend Quality,trend_quality,DECILE,5,605,516,0.015207341614054447,0.088593963728456,1.5594704838089968,1.3902053712480322,-1.5120942213637536,-1.1419506417486125,0.5116279069767442,436,0.02697210031342655,0.13748063433408614,2.859488922237166,2.0338152413624133,-2.6851577902621893,-2.298068548034593,0.5068807339449541,399,0.5053583338950138,0.0955748829207792,3.9215162125055127,2.8043143297380446,-3.217738970070875,-2.787839586028462,0.5112781954887218,246,2.2047565567909615,0.9390459736650424,6.256678307415019,4.3318815524913346,-3.866796174474888,-3.3256928477821694,0.5853658536585366,0.5255474452554745,4.415730337078652,2.8596491228070176,5.8983739837398375,,,,,7.0,-0.15747089800095787,1.526737078816919
Trend Quality,trend_quality,DECILE,6,567,480,0.055608676055631176,-0.0356238125395758,1.489874904519273,1.2210655773707613,-1.3247264373166459,-1.1604723029222055,0.4791666666666667,395,0.2500450755978747,-0.1851433732219409,2.8086185503787835,1.942487145305672,-2.4536429711408663,-2.281368821292773,0.47848101265822784,352,0.35722030715780007,-0.28003536847597815,3.839320462611374,2.414922231317962,-3.0794161956753086,-2.8021496274221067,0.4630681818181818,207,2.3153420636868574,1.500717734568724,5.934788064891522,4.480111653872987,-3.6189881373365687,-3.183138636504113,0.5845410628019324,0.5346534653465347,4.290322580645161,2.8380681818181817,5.884057971014493,,,,,7.0,0.1270910780570015,0.6847863464509333
Trend Quality,trend_quality,DECILE,7,586,479,0.16071002969787995,0.0697836706210708,1.801839385481212,1.241079739373263,-1.099422469452204,-0.8074425136036512,0.5177453027139874,399,0.8344573266267833,0.2076192987081393,3.2505478456473313,2.146874324032022,-1.9958056556310466,-1.4570387829440756,0.5363408521303258,368,1.363574079125247,0.9478118417973302,4.369486861558687,3.0189464917759645,-2.435621386213406,-2.020653549455087,0.6059782608695652,245,3.7262339031162153,3.2399665551839485,7.116189003907141,5.710774802742202,-2.7919142219176667,-2.3202341137123828,0.7714285714285715,0.6875,4.512605042016807,3.2092391304347827,6.604081632653061,,,,,7.0,0.9423837661983928,1.7300442208664841
Trend Quality,trend_quality,DECILE,8,549,481,-0.0024668043280162764,-0.160762473445486,1.5238062001098958,1.2107870115575017,-1.1974116764869083,-0.9976525821596248,0.46153846153846156,411,0.3873200690507415,-0.0871839581516931,2.909793654803969,2.030900787095513,-2.302037177910474,-1.822991546379893,0.4768856447688564,383,1.1425704601769004,0.8264742742946085,3.833104135965037,2.529235790046247,-2.703044139621188,-2.3975065931431283,0.5848563968668408,214,2.7142506101920434,2.0720433535224902,5.97416729597736,4.426389038455625,-3.642220305054263,-3.015117449801119,0.616822429906542,0.46564885496183206,5.026315789473684,3.1279373368146213,6.341121495327103,,,,,7.0,0.8158809524761911,1.6469931726209857
Trend Quality,trend_quality,DECILE,9,651,547,0.14343642207187807,0.0719597025665708,1.5996795215451467,1.2800917080626473,-1.1778394865984898,-0.9459319756021988,0.5027422303473492,459,0.707238337749748,0.3542003542003513,3.022994947184791,2.2522522522522515,-2.1187877291731905,-1.693480101608802,0.5577342047930284,431,1.016770480590369,0.3888528839922189,3.765478747165827,2.965574450435504,-2.5145994711297366,-2.1420518602029315,0.605568445475638,298,1.2854220869025417,0.9159178934852075,4.9354973664679385,4.22523427041499,-3.2047647134443102,-2.6641473580815704,0.5838926174496645,0.5786163522012578,4.9405940594059405,3.0046403712296983,5.677852348993288,,,,,7.0,0.5253987861879119,1.5212331627354154
Trend Quality,trend_quality,DECILE,10,567,489,0.07442767055435161,-0.1133401337413686,1.6005594477649028,1.3084565059365172,-1.2591772920615327,-1.0756219722473093,0.4498977505112474,427,-0.05293210138637266,-0.216909283717348,2.4571320158666308,1.7645625152327593,-2.453369930375417,-2.0875972165370404,0.45433255269320844,385,0.11729483723007329,-0.0170212765957411,3.1316557495390764,2.162939643942674,-3.0574996933935643,-2.542714919951572,0.4935064935064935,276,0.7824964367765204,0.6310880073501446,4.495115615741996,3.728395956375219,-3.6380451145742745,-3.0514257860102423,0.5579710144927537,0.5128205128205128,4.021739130434782,2.890909090909091,5.739130434782608,,,,,7.0,-0.5722177428915642,0.7674120037974649
Existing Momentum,existing_momentum,OVERALL,ALL,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.13731200034420638,-0.21802156261185843,-0.9878787878787878,-0.9878787878787878,7.0,0.907255528739612,1.5285947465902214
