candidate,split,selection,eligible_N,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,bootstrap_clusters,bootstrap_mean_ci_low,bootstrap_mean_ci_high
V5_SECTOR_DATA_FIX,calibration,TOP_20_PCT,1176,239,239,0.11611452542839444,0.1108186729464,1.5326150005123682,1.564689397477825,-1.4639713647090582,-1.035396099205388,0.5146443514644351,239,0.708351470502362,0.4837136727130708,3.373491563718433,2.3618911060660386,-2.591337113773345,-2.187499999999998,0.5439330543933054,239,0.8711434794943018,0.7645005816852235,4.4733608478992934,3.058288161681056,-3.279258506377907,-2.518129389596302,0.5732217573221757,239,3.5578282205789296,2.698892938183306,6.5930259803175835,5.412054120541199,-3.7084234605049162,-2.84913591779542,0.7238493723849372,0.6111111111111112,4.858974358974359,2.98326359832636,6.665271966527197,-0.0493710960873048,0.04263887663081815,3,-0.11913471533726469,1.6442426925264948
V5_SECTOR_DATA_FIX,holdout,ALL_ELIGIBLE,871,871,871,0.4104346326765814,0.1540832049306439,1.6338371041365616,1.000288544772543,-1.3405302932959675,-1.2704174228675202,0.5281285878300803,871,1.13033672065487,0.5904509823882798,3.071062251639032,2.1739130434782705,-2.017215109914607,-1.7587939698492372,0.6234213547646383,871,1.8653632383687702,1.602753195673534,4.155505966075233,3.376948239368871,-2.335333850718613,-2.022700814901046,0.6716417910447762,871,2.4878375430297934,1.6377649325626242,5.714232647621993,4.530070294194233,-3.0074138895148703,-2.623550945698594,0.6991963260619977,0.5960144927536232,4.849350649350649,3.490241102181401,6.388059701492537,-0.058381324926461704,-0.03102338820835168,2,1.5976671768856179,2.541648025273575
V5_SECTOR_DATA_FIX,holdout,TOP_10_PCT,871,88,88,-0.09099826243962655,-0.10554592219815245,1.434890970504279,0.7863415738840418,-1.4402408897554766,-1.2687813021702854,0.4659090909090909,88,1.0497570551360176,0.5928509178055208,2.7392781894126013,2.2889083125024356,-2.0700531899711416,-1.5616640064184506,0.6477272727272727,88,1.6940117570959188,1.5046685485453515,3.873348984812695,3.087703087703076,-2.35787978460587,-1.8177722311650655,0.7045454545454546,88,2.583348117369992,1.9339957416607545,5.530270259099291,4.389797644000948,-3.2145097179095115,-3.0725705638528944,0.7727272727272727,0.5689655172413793,5.25,3.7613636363636362,6.625,-0.058381324926461704,-0.03102338820835168,2,1.175234884179302,3.001329476845794
V5_SECTOR_DATA_FIX,holdout,TOP_20_PCT,871,176,176,0.04924608693211999,-0.0977517106549363,1.3890333927461027,0.8506882951327399,-1.2612112565145637,-1.2113484220592996,0.4602272727272727,176,0.9815399660322837,0.6598434934646846,2.667712085435727,2.2211050757664386,-1.8691520240275588,-1.5469233413544117,0.6477272727272727,176,1.7743143549324025,1.767330669219358,3.720309329687558,3.181066293421564,-2.1124503159684695,-1.745820965474154,0.75,176,2.1257186101419054,1.6163152232600675,5.070715377052348,4.169379066361589,-2.7852320099850947,-2.3202341137123828,0.6875,0.6194690265486725,5.0256410256410255,3.772727272727273,6.528409090909091,-0.058381324926461704,-0.03102338820835168,2,1.3296194663500887,2.8949454741598335
V5_SECTOR_DATA_FIX,validation,ALL_ELIGIBLE,540,540,540,0.16643416983356216,-0.29838952895693827,2.1442769926891607,1.2375276881929742,-1.4022152749216223,-1.3726542216785376,0.4185185185185185,540,1.0853692966866266,0.24387111178543197,3.7765617012273527,2.2339362641715876,-2.119483126657191,-2.089530950099683,0.5333333333333333,540,1.8997602307089656,1.212742959230828,4.681773938618431,2.947102300239224,-2.4644150972296983,-2.378860964638385,0.674074074074074,540,2.0760853208510928,1.6276347636679511,6.18548745680029,4.5307740808509305,-3.0203203802995815,-2.8663084112034776,0.5925925925925926,0.5371428571428571,4.103448275862069,3.0481481481481483,6.007407407407407,-0.09921459065891777,-0.11021184561287994,1,,
V5_SECTOR_DATA_FIX,validation,TOP_10_PCT,540,56,56,0.2129578766477291,-0.3774397069610358,2.4686470480931857,1.582698278295236,-1.104154393663109,-1.0566789106519592,0.35714285714285715,56,0.5162955130936095,-0.2411361402333889,3.2631943543825335,1.876786157087973,-2.1264756440168435,-2.75126455330007,0.4642857142857143,56,1.2644188639894505,0.1048782335401288,3.7996234216277576,2.70308832206404,-2.3247461538329297,-2.8575745956683107,0.5357142857142857,56,0.7125606401899969,1.1427266036369454,5.201404569127417,4.403736064380759,-3.287412435063286,-3.1966676957610183,0.5357142857142857,0.5294117647058824,3.1,2.642857142857143,5.75,-0.09921459065891777,-0.11021184561287994,1,,
V5_SECTOR_DATA_FIX,validation,TOP_20_PCT,540,110,110,0.01519452002227153,-0.364483142654648,1.9685595471955142,1.0455635491606774,-1.1144374768875835,-1.0756219722473093,0.32727272727272727,110,0.49758376165762,-0.0950703240779504,2.861301934794263,1.7547265033580617,-1.9276026198851517,-2.0212676175204614,0.4909090909090909,110,1.2800315452701752,0.9058094394878368,3.467719025071143,2.3221497359428467,-2.1563495079048334,-2.464819765563031,0.6181818181818182,110,1.2821851966580071,1.1833928335316823,5.181701473401333,4.149026248941579,-2.9147043715439365,-2.815000000000001,0.5636363636363636,0.5142857142857142,4.333333333333333,3.036363636363636,6.6909090909090905,-0.09921459065891777,-0.11021184561287994,1,,
V5_STRENGTH_GATE_6.0,calibration,ALL_ELIGIBLE,889,889,889,0.42476144661258297,0.2794725447746504,1.985907771351579,1.605554350184435,-1.2060401750761105,-0.9300162752848172,0.5736782902137233,889,1.1607635366375146,0.7772020725388407,4.008390671091235,2.721970187945555,-2.3353928390238714,-1.700811751063014,0.5815523059617548,889,1.2285658279276015,0.7921539041870984,5.053724526786324,3.5072281583909515,-2.961266435617694,-2.2352941176470686,0.5973003374578177,889,2.7977087640145757,2.052814442194961,6.55347998465879,5.120137299771166,-3.4619784720530373,-2.653704676826074,0.6872890888638921,0.6332518337408313,3.993150684931507,2.9617547806524183,5.833520809898762,-0.018000646001207574,0.07745817971421043,3,0.9612972245286343,1.4712625642643924
V5_STRENGTH_GATE_6.0,calibration,TOP_10_PCT,889,93,93,0.2972312510349134,-0.2660729800173844,1.5777016230464005,1.4717983683257607,-1.1641410762894164,-0.9074152842761918,0.44086021505376344,93,0.4660500726087619,0.2191952403319375,2.9812645709482966,2.2218240458699023,-2.3297320239467476,-2.243088158581119,0.5053763440860215,93,0.7616650863719212,0.2823631624674361,4.098114560533624,3.044634939402901,-2.7046203142289484,-2.518129389596302,0.5376344086021505,93,2.6554748437423594,1.8455473929403388,5.629353777127556,4.318222540763306,-3.1378465790763386,-2.559688077575517,0.6559139784946236,0.55,5.6,2.89247311827957,6.333333333333333,-0.018000646001207574,0.07745817971421043,2,-0.3371708207401647,1.4556667119163962
V5_STRENGTH_GATE_6.0,calibration,TOP_20_PCT,889,181,181,0.16068802993931752,-0.0581540250893186,1.5375130066998153,1.537097250960695,-1.455992794979468,-0.9899683210137232,0.49171270718232046,181,0.32949693984339373,0.0813008130081227,3.0399598133865497,2.1418174256601974,-2.6275330434938304,-2.243088158581119,0.5082872928176796,181,0.7003591841025786,0.7632691404415359,4.176172163327628,2.517223105458388,-3.1896961478610657,-2.518129389596302,0.5524861878453039,181,3.3627327500539645,2.50248121366794,6.304323189157837,5.3124268663702345,-3.6265142475712384,-2.801767933346888,0.6961325966850829,0.5764705882352941,5.133333333333334,2.8729281767955803,6.624309392265193,-0.018000646001207574,0.07745817971421043,3,-3.3622562409612087,1.8437720355974219
