from_value,to_value,count,percentage,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,from_decision_bucket,to_decision_bucket,true_decision_change
Watch / trail / smaller size,Avoid,33,0.005642954856361149,33,19,-0.22343740824021188,0.0433804191632969,1.2664709327565897,1.3136079581685944,-1.479781076838445,-0.8006405124099225,0.5263157894736842,16,-0.5268312472913075,0.1721349955662088,2.062537518899071,1.575745224089664,-2.467324102832601,-1.8267223382045887,0.6875,16,0.28010368055212537,1.1629001757885171,2.3445639278535713,2.146180838047429,-2.556475754484253,-1.8267223382045887,0.6875,16,0.08286521550548007,-0.5839822024471641,3.0131446785919103,3.5939700589431967,-3.2310822882277903,-2.5175360285677906,0.4375,0.5714285714285714,6.0,3.0,4.4375,WAIT_CONFIRM,AVOID,True
Watch / trail / smaller size,"Entry candidate, confirm R/R",32,0.005471956224350205,32,16,-0.092899191492956,-0.5013626089036383,1.3345467558566626,0.9109252405973045,-2.1932658611873546,-1.4075449678561058,0.4375,6,0.3371435888251819,0.33469290855516753,1.9171245629466036,1.3981182930798308,-3.4236931986029435,-3.7063139504243505,0.8333333333333334,6,0.9729631075085233,0.7258011031861855,3.557230272538632,3.2051434658101785,-3.74701578725857,-4.220881279022704,0.5,0,,,,,,,,,,4.166666666666667,,WAIT_CONFIRM,ENTRY,True
"Good chart, R/R failed",Avoid,28,0.0047879616963064295,28,27,-0.08124753584624464,-0.5007882778447548,1.2852681076703945,0.9695147241808312,-1.4882966122215402,-1.346124090979417,0.3333333333333333,27,0.7644309369675573,0.4536290322580738,2.3995324145116794,1.351281654546388,-1.8836497725111885,-2.281368821292773,0.5185185185185185,24,2.143230231649073,1.5750585680152418,4.038667765679169,2.419354838709676,-1.909501984202253,-2.447032267993643,0.6666666666666666,22,1.4841005500919573,0.9807546451346738,4.6654085230804565,3.4085879802418506,-2.4429961885262346,-2.6965725806451624,0.5909090909090909,1.0,3.0,3.3333333333333335,4.954545454545454,WAIT_CONFIRM,AVOID,True
"Buyable, R/R ok",Defensive / wait for confirmation,24,0.004103967168262654,24,24,-0.7906841620123681,-0.8624299818604853,0.7271728257277488,0.8946540724992569,-1.3718934667050648,-1.0340578128392341,0.4166666666666667,24,-0.25004092760806124,0.04438869263811426,1.608045226204326,1.549729624901286,-2.059425296110584,-1.2609049283426097,0.5,23,-0.16229852616841162,-0.6326201978375856,2.161359264606149,2.151554557276269,-2.531992803213163,-2.322969618158177,0.34782608695652173,5,2.4068371502475694,5.0920485703094265,5.232036721991036,6.311901964075872,-2.1255130030019154,-1.079961949527175,0.6,0.6,4.75,2.739130434782609,5.6,ENTRY,WAIT_CONFIRM,True
"Good chart, Sector RS failed",Defensive / wait for confirmation,19,0.0032489740082079343,19,15,-0.4115617487752784,-0.5556790397866163,0.9203602612682753,0.7869699698523913,-1.4908706517077077,-1.72663560549704,0.4666666666666667,13,-0.6992495671312864,-2.10649502633119,1.4154763456272201,1.229395873301753,-2.3800526061186775,-2.3859065057566964,0.46153846153846156,13,-0.746714747199063,-0.3884033846580648,1.734528995941731,1.229395873301753,-3.6031045220950992,-3.27677004095962,0.3076923076923077,7,1.0024347338597266,-0.8300379781527756,4.704068212492252,2.427469558748685,-4.52033862968714,-5.738119312436818,0.42857142857142855,0.6666666666666666,6.0,3.076923076923077,6.714285714285714,WAIT_CONFIRM,WAIT_CONFIRM,False
"Good chart, RS failed","Setup candidate, wait for trigger",17,0.0029069767441860465,17,12,0.4738603431862138,0.33217100015142664,1.2441618252920617,0.9803936164182514,-0.8750173497200912,-0.7033723428312932,0.6666666666666666,5,0.9074293439172919,1.417819009277088,2.320580915673678,2.380535620514612,-1.1611713308734228,-0.8930469912821648,0.6,4,1.3615714584878646,1.3348889703202804,3.0479421590601072,3.0669948261216495,-0.9549531598343958,-0.6040589411163144,1.0,0,,,,,,,,,,3.75,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Overheated, avoid chasing","Entry candidate, confirm R/R",15,0.0025649794801641587,15,9,0.04546309299578017,0.0,1.5271084005373334,1.0011177528308268,-0.8067842527065173,-0.4922067268252617,0.4444444444444444,2,2.8178042407487447,2.8178042407487447,4.983755236585408,4.983755236585408,-3.5647939835761475,-3.5647939835761475,1.0,2,-1.4218470493044644,-1.4218470493044644,4.983755236585408,4.983755236585408,-3.5647939835761475,-3.5647939835761475,0.0,0,,,,,,,,,,2.0,,AVOID,ENTRY,True
"Momentum, R/R failed","Setup candidate, wait for trigger",15,0.0025649794801641587,15,9,0.35962590289147933,0.4403467730837995,1.0848633996765968,1.2745974955277184,-0.8687571768351506,-0.3853034264483246,0.7777777777777778,4,2.2549080897419915,2.199374688856648,3.125579619429791,2.8670154962789685,-0.9237146160906595,-0.8127634450677379,1.0,4,2.710257543811795,2.765426590424225,3.9831146540413975,3.9340408727647436,-0.9237146160906595,-0.8127634450677379,1.0,0,,,,,,,,,,4.5,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Buyable, R/R ok","Setup candidate, wait for trigger",11,0.001880984952120383,11,9,0.7038200447604479,0.8074730842305256,2.3070234533014093,2.155255544840884,-0.5834144487615691,-0.4263280579070216,0.6666666666666666,5,0.5738055390459265,-0.1097092704333557,2.8746304246147814,2.843124921373774,-1.086160571705621,-1.4490161001788793,0.4,5,1.8246050207769884,1.8902802623733008,3.3462942205679225,3.283431878223686,-1.08854578339316,-1.4609421586165738,0.8,0,,,,,,,,,,3.4,,ENTRY,WAIT_CONFIRM,True
"Momentum, R/R failed",Avoid,9,0.0015389876880984952,9,8,1.3398827559122444,1.2739513205592967,2.1745078033030074,1.3464526152252798,-1.2753323035107191,-1.2025554302893648,0.75,8,1.2120708084945364,1.387881926462975,2.41106658675509,1.6157431382703311,-1.9685181665561753,-2.1420518602029315,0.75,8,4.216940769241561,4.246504401864337,5.019221746715153,4.774728120145011,-1.9685181665561753,-2.1420518602029315,1.0,8,4.008208465934901,4.58829621957535,5.523234651041631,5.592957017089595,-2.1846023454362973,-2.351113412739514,0.75,0.75,6.5,4.0,7.5,WAIT_CONFIRM,AVOID,True
