candidate_id,from_action,to_action,action_changed,count,percentage,independent_dates,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,bootstrap_clusters_1d,mean_return_1d_ci_low,mean_return_1d_ci_high,bootstrap_clusters_3d,mean_return_3d_ci_low,mean_return_3d_ci_high,bootstrap_clusters_5d,mean_return_5d_ci_low,mean_return_5d_ci_high,bootstrap_clusters_10d,mean_return_10d_ci_low,mean_return_10d_ci_high
M1B_V4_FILTER_EXTENDED_EXTREME,ENTER,ENTER,False,38,0.006497948016415869,6,38,36,-0.31032323025206154,-0.011811094236152703,1.148179611303701,0.9389269277752188,-1.0951874010412521,-0.91618394609293,0.5,31,-0.04372289176448894,0.4534679995877644,1.792733678737132,2.151554557276269,-1.8189964987416871,-1.193994562004974,0.5161290322580645,30,0.1861097324789122,-0.4100366599193605,2.356211070813058,2.256675675663799,-2.1736814962226236,-1.8406968404581558,0.43333333333333335,5,2.4068371502475694,5.0920485703094265,5.232036721991036,6.311901964075872,-2.1255130030019154,-1.079961949527175,0.6,0.6,4.75,2.966666666666667,5.6,5,-0.8859560787192906,0.5299184644678524,4,-1.1442057266831058,0.4505459511390602,4,-1.4002118518840867,0.8957617387968669,2,-1.6209799798452162,5.0920485703094265
M1B_V4_FILTER_EXTENDED_EXTREME,NO_TRADE,FILTERED,True,186,0.03180574555403557,8,186,158,0.36764461180806374,0.3385657125269281,1.8549124661666103,1.5899319714065663,-1.3653997803923354,-0.9753924478785314,0.5822784810126582,134,0.07309356716187572,0.377200335289185,2.89116599745722,2.547764673579722,-2.7291617995126254,-2.0279369108049283,0.5746268656716418,128,0.8005605972387494,1.5225334957368997,3.785469167973644,3.270594574415542,-3.1050011450198753,-2.1793722086012823,0.59375,80,2.0427541298387006,0.8468680462839329,6.314824566140021,5.4939981532779125,-4.0976533971128895,-3.4519196900317017,0.6,0.5,4.233333333333333,3.3203125,5.9875,7,-0.07605516676340388,0.7880715887812976,6,-0.6200348236439363,0.6444290873620775,6,-0.19674007650459246,1.4864634253875904,5,1.1394187538184122,2.7566386113303496
M1B_V4_FILTER_EXTENDED_EXTREME,NO_TRADE,NO_TRADE,False,1110,0.18980848153214774,9,1110,963,0.22031665676595258,0.17572875749432,1.7184314789488886,1.367560547024227,-1.1179716838536324,-0.9394572025052116,0.5545171339563862,830,1.0161115926362967,0.573963861710558,3.4494438081516217,2.4037107495503696,-1.974161238514546,-1.5258787474129951,0.5734939759036145,750,1.4661321589559964,1.0896104868976408,4.364065585903946,3.2621828433346822,-2.4451924767197912,-2.018606284009128,0.6306666666666667,490,3.632368187518129,2.5546603809758928,6.843963914546951,5.12770350071583,-2.7741359490002946,-2.1301327277800484,0.7571428571428571,0.68561872909699,4.03030303030303,3.0853333333333333,6.285714285714286,8,-0.1454329327709523,0.6995529301353169,7,0.33042078939484837,2.052318393481708,7,0.747946792850137,2.3117395471040703,6,2.9161287553840785,4.3030947492379745
M1B_V4_FILTER_EXTENDED_EXTREME,WAIT_FOR_TRIGGER,FILTERED,True,689,0.11781805745554036,9,689,616,0.2642722123962874,0.0251631887296266,1.6838282859369365,1.2726945958276836,-1.3393401325116505,-1.1716870109121036,0.5064935064935064,554,0.5786524965535117,0.2969121140142583,3.0846750968502796,2.14791189076049,-2.3580245454390316,-2.0088449604094394,0.5541516245487365,534,1.048384539814585,0.7552543917033194,4.062052250391792,2.9030265596046823,-2.6888732948881673,-2.3239099185433654,0.5936329588014981,355,2.0635209283039773,1.5633814167136828,5.969191548432015,4.689567564706509,-3.1337694545363326,-2.7140479119924787,0.6619718309859155,0.5153061224489796,4.290322580645161,3.00187265917603,5.8,8,-0.054632531927007566,0.5878255486438869,7,0.12336034506697745,1.0498308404357015,7,0.13954328160641438,1.7191429660577995,6,0.997637523017846,3.071678083437008
M1B_V4_FILTER_EXTENDED_EXTREME,WAIT_FOR_TRIGGER,WAIT_FOR_TRIGGER,False,1503,0.2570109439124487,9,1503,1296,0.12125321875159413,-0.0096899224806157,1.5051119374430513,1.178299833283647,-1.2613330650167374,-1.0963056456005704,0.49691358024691357,1081,0.658240664649492,0.0967702915205093,3.03402816393175,2.025759659872461,-2.0953411683124767,-1.9079837618403368,0.5143385753931545,987,1.232623333456175,0.7534201308571742,4.258883103401689,2.7700831024930705,-2.5135728088433047,-2.272417751318123,0.5927051671732523,629,2.6378827409684806,2.150593626327857,6.157869719773739,4.883198256487087,-2.951163855558936,-2.585487906588824,0.724960254372019,0.6352583586626139,4.590717299578059,3.088145896656535,6.0651828298887125,8,-0.2600897753254734,0.5691297927605754,7,0.19748695199728425,1.3073999480721905,7,0.6676707107223335,1.5965593759726937,6,1.9030960975114302,3.291990509151324
M1C_V4_EXTENSION_SECONDARY,AVOID,AVOID,False,1775,0.30352257181942544,9,1775,1459,0.4127569850054043,0.2156781418498621,2.003663830196318,1.5008337965536356,-1.1447017568159776,-0.957510472770795,0.5592871830020562,1244,1.122394184640875,0.6079447619336653,3.7027908577451223,2.4879763226045126,-2.1671678139745625,-1.807701059338096,0.569935691318328,1152,1.676311472987121,0.842997970892545,4.807742665170175,3.5434111143423985,-2.5866595474237744,-2.16885923990795,0.6015625,795,3.161906949049548,2.300347222222232,7.017799594744101,5.409604519773992,-2.997646130642918,-2.6131545212503604,0.6867924528301886,0.656964656964657,4.096685082872928,3.140625,6.153459119496856,8,0.08843972327524481,0.7833955010575397,7,0.7902481653434192,1.5207728437264847,7,1.4779556809954977,1.938016714372933,6,2.9927031010827703,3.5235509071523965
M1C_V4_EXTENSION_SECONDARY,DEFENSIVE,DEFENSIVE,False,547,0.09353625170998632,10,547,456,-0.14376357291252995,-0.3645700371741278,1.4675922676583841,1.173088836705427,-1.5881763693978832,-1.3060500428595911,0.4342105263157895,394,-0.41515264702497806,-0.358122414369777,2.307160727374508,1.6241362424506356,-2.8858473804167475,-2.54716981132076,0.4517766497461929,373,-0.4278185906250568,-0.3820682628629557,2.8073605575886256,2.018093249826025,-3.2632085868780445,-2.861635220125791,0.44235924932975873,233,0.1504210311814677,0.3720508166969116,4.014584912063176,3.402903811252278,-4.059598661098626,-3.286852589641432,0.5107296137339056,0.375,5.25,2.8552278820375334,5.836909871244635,8,-0.4111142621179486,0.4313351379472506,7,-0.9484442013575691,0.2522156479232034,7,-1.105621924058815,0.23196041426384748,6,-0.7123681149855662,1.6316109701550292
M1C_V4_EXTENSION_SECONDARY,ENTER,ENTER,False,38,0.006497948016415869,6,38,36,-0.31032323025206154,-0.011811094236152703,1.148179611303701,0.9389269277752188,-1.0951874010412521,-0.91618394609293,0.5,31,-0.04372289176448894,0.4534679995877644,1.792733678737132,2.151554557276269,-1.8189964987416871,-1.193994562004974,0.5161290322580645,30,0.1861097324789122,-0.4100366599193605,2.356211070813058,2.256675675663799,-2.1736814962226236,-1.8406968404581558,0.43333333333333335,5,2.4068371502475694,5.0920485703094265,5.232036721991036,6.311901964075872,-2.1255130030019154,-1.079961949527175,0.6,0.6,4.75,2.966666666666667,5.6,5,-0.8859560787192906,0.5299184644678524,4,-1.1442057266831058,0.4505459511390602,4,-1.4002118518840867,0.8957617387968669,2,-1.6209799798452162,5.0920485703094265
M1C_V4_EXTENSION_SECONDARY,NO_TRADE,NO_TRADE,False,1296,0.2216142270861833,9,1296,1121,0.24108188147304765,0.2073934526465315,1.7376678714380949,1.4341590612777066,-1.1528455814924505,-0.9403546480386882,0.5584299732381802,964,0.8850281741574872,0.5126373305695875,3.371840875959661,2.4134638000202657,-2.07910944927569,-1.6267247639796478,0.5736514522821576,878,1.3691012251293362,1.127364930758712,4.279714399690873,3.2621828433346822,-2.5413832620756125,-2.043118918526737,0.6252847380410023,570,3.409264460124525,2.371856096784475,6.769698742840715,5.22449392178751,-2.959892783823115,-2.215705441511895,0.7350877192982456,0.659942363112392,4.053639846743295,3.1195899772209565,6.243859649122807,8,-0.10857974719100089,0.7168707425175389,7,0.23849813983926926,1.8350708607417678,7,0.8011441606618394,2.0543608123840023,6,2.767354887479808,4.007707137096624
M1C_V4_EXTENSION_SECONDARY,WAIT_FOR_TRIGGER,WAIT_FOR_TRIGGER,False,2192,0.3748290013679891,9,2192,1912,0.16733046775009366,0.00232590594035905,1.5626900078783197,1.206541357923829,-1.2864650491050567,-1.1291433953721453,0.5,1635,0.6312731752762976,0.2085766727849103,3.0511892653610255,2.093244529019977,-2.1843482575651443,-1.986044015029531,0.5278287461773701,1521,1.1679398911125793,0.7534201308571742,4.189778780254231,2.873359347286275,-2.575118147139134,-2.272417751318123,0.5930309007232084,984,2.4306688756271204,2.04297574475012,6.089799851047812,4.8200885126034265,-3.017042908035538,-2.623550945698594,0.7022357723577236,0.5904761904761905,4.487534626038781,3.0578566732412886,5.969512195121951,8,-0.048713346182763274,0.5341992766830369,7,0.3658858964573662,1.1536928068396308,7,0.6879515080785087,1.501248882478678,6,1.6827008354185304,3.1733412392649094
